연번,시도명,시군구명,시설유형,시설종류,시설명,도로명주소,위도,경도,전화번호,데이터기준일자,
1.0,서울특별시,마포구,노인주거복지시설,노인복지주택,상암 카이져팰리스 클래식,서울특별시 마포구 월드컵북로47길 37 (상암동),37.5735268362954,126.890281071651,02-372-8880,2024-11-22,
2.0,서울특별시,마포구,노인의료복지시설,노인요양시설,시립서부노인전문요양센터,서울특별시 마포구 월드컵로36길 15(성산동),37.5664596540181,126.902497662123,02-376-0472,2024-11-22,
3.0,서울특별시,마포구,노인의료복지시설,노인요양시설,노아 케어링하우스,서울특별시 마포구 숭문6길 12 (염리동),37.5497878573559,126.946787653415,02-717-7474,2024-11-22,
4.0,서울특별시,마포구,노인의료복지시설,노인요양시설,시립마포실버케어센터,서울특별시 마포구 백범로31길 21,37.5474519179291,126.95058893169,02-6392-5005,2024-11-22,
5.0,서울특별시,마포구,재가노인복지시설,주야간보호서비스,마포노인데이케어센터,서울특별시 마포구 만리재옛12길 6-2(공덕동),37.5497736485757,126.959428976011,02-712-3633,2024-11-22,
6.0,서울특별시,마포구,재가노인복지시설,주야간보호서비스,마포데이케어센터,서울특별시 마포구 서강로 68 (창전동),37.5489182618345,126.93221240494,02-6360-0521,2024-11-22,
7.0,서울특별시,마포구,재가노인복지시설,주야간보호서비스,망원데이케어센터,서울특별시 마포구 월드컵로11길 61 (망원동),37.5539026001446,126.907729268383,02-325-9719,2024-11-22,
8.0,서울특별시,마포구,재가노인복지시설,주야간보호서비스,시립마포실버케어센터 병설 데이케어센터,서울특별시 마포구 백범로31길 21,37.5474519179291,126.95058893169,02-6392-5005,2024-11-22,
9.0,서울특별시,마포구,재가노인복지시설,주야간보호서비스,시립서부데이케어센터,서울특별시 마포구 월드컵로36길 15(성산동),37.5664596540181,126.902497662123,02-376-0472,2024-11-22,
10.0,서울특별시,마포구,재가노인복지시설,주야간보호서비스,아현노인복지센터,서울특별시 마포구 마포대로26길 19(아현동),37.5549848659378,126.958768086004,02-365-3677,2024-11-22,
11.0,서울특별시,마포구,재가노인복지시설,주야간보호서비스,아현실버데이케어센터,서울특별시 마포구 환일길3(아현동),37.5574583533743,126.960318260906,02-312-2161,2024-11-22,
12.0,서울특별시,마포구,재가노인복지시설,주야간보호서비스,우리마포데이케어센터,"서울특별시 마포구 신촌로26길 10(노고산동,4,5층)",37.5558484486533,126.942367698541,02-354-8400,2024-11-22,
13.0,서울특별시,마포구,재가노인복지시설,주야간보호서비스,창전데이케어센터,"서울특별시 마포구 서강로1길 30 (창전동,(4층))",37.5491793398684,126.930194273501,02-333-1090,2024-11-22,
14.0,서울특별시,마포구,재가노인복지시설,주야간보호서비스,한서재가노인복지센터,서울특별시 마포구 월드컵로13길 80 (망원동),37.5552352416123,126.905683953054,02-333-2390,2024-11-22,
15.0,서울특별시,마포구,재가노인복지시설,주야간보호서비스,성산노인복지센터,서울특별시 마포구 월드컵북로12안길 68(성산동),37.5645794775391,126.913550140234,02-325-5501,2024-11-22,
16.0,서울특별시,마포구,재가노인복지시설,주야간보호서비스,서울종합데이케어센터,서울특별시 마포구 토정로32길 4(용강동),37.5481021445378,126.945690981708,02-701-9967,2024-11-22,
17.0,서울특별시,마포구,재가노인복지시설,주야간보호서비스,마포봄데이케어센터,"서울특별시 마포구 대흥로 54(대흥동,5층)",37.5450039859265,126.939804819249,02-706-9874,2024-11-22,
18.0,서울특별시,마포구,재가노인복지시설,주야간보호서비스,상암데이케어센터,"서울특별시 마포구 월드컵로42길 2(상암동,2층)",37.5775175261884,126.881583870958,02-324-5573,2024-11-22,
19.0,서울특별시,마포구,재가노인복지시설,주야간보호서비스,초록숲데이케어센터,"서울특별시 마포구 마포대로11길 44-81(아현동, B1층)",37.5521609997915,126.951224669357,02-3147-0150,2024-11-22,
20.0,서울특별시,마포구,재가노인복지시설,주야간보호서비스,재활앤데이케어센터,서울특별시 마포구 모래내로7길 62 두보빌딩 4-5층(성산동),37.5676878250216,126.909611072502,02-306-9114,2024-11-22,
21.0,서울특별시,마포구,재가노인복지시설,주야간보호서비스,와우주야간보호센터,"서울특별시 마포구 고산18길 13, 5층(대흥동) ",37.5538222340985,126.945519964848,02-325-9788,2024-11-22,
22.0,서울특별시,마포구,재가노인복지시설,주야간보호서비스,염리데이케어센터,"서울특별시 마포구 대흥로24길 50, 2층 (염리동, 염리종합사회복지관)",37.5546349659875,126.948756724857,02-3276-1870,2024-11-22,
23.0,서울특별시,마포구,재가노인복지시설,재가노인지원서비스,마포노인복지센터,"서울특별시 마포구 만리재로 99, 2,3층 (공덕동)",37.5491801283171,126.95956170288,02-365-7775,2024-11-22,
24.0,서울특별시,마포구,재가노인복지시설,재가노인지원서비스,보사노인복지센터,서울특별시 마포구 성미산로29안길 30 (연남동),37.5655828980205,126.923756993906,02-3273-6692,2024-11-22,
25.0,서울특별시,마포구,재가노인복지시설,재가노인지원서비스,마포어르신돌봄통합센터,"서울특별시 마포구 마포대로11길 44-81 (아현동, 2층)",37.5521609997915,126.951224669357,02-325-3850,2024-11-22,
26.0,서울특별시,마포구,노인여가복지시설,노인복지관,아현실버복지관,서울특별시 마포구 환일길 3(아현동),37.5574583533743,126.960318260906,02-312-2161,2024-11-22,
27.0,서울특별시,마포구,노인여가복지시설,노인복지관,우리마포복지관,서울특별시 마포구 신촌로26길 10(노고산동),37.5558484486533,126.942367698541,02-358-1000,2024-11-22,
28.0,서울특별시,마포구,노인여가복지시설,노인복지관,용강노인복지관,서울특별시 마포구 토정로31길 31(용강동),37.5423279473092,126.942830062563,02-707-1006,2024-11-22,
29.0,서울특별시,마포구,노인여가복지시설,노인복지관,마포노인종합복지관,서울특별시 마포구 서강로 68(창전동),37.5489182618345,126.93221240494,02-333-1040,2024-11-22,
30.0,서울특별시,마포구,노인여가복지시설,경로당,아현1동경로당,서울특별시 마포구 환일길 52-1,37.5535808070726,126.960994530158,02-364-9715,2024-11-22,
31.0,서울특별시,마포구,노인여가복지시설,경로당,공덕1동경로당,서울특별시 마포구 만리재옛길 78-1,37.5499179970085,126.959449605952,02-712-3238,2024-11-22,
32.0,서울특별시,마포구,노인여가복지시설,경로당,연봉경로당,서울특별시 마포구 만리재로 16길 10-5,37.5503568930295,126.962227525189,02-701-0385,2024-11-22,
33.0,서울특별시,마포구,노인여가복지시설,경로당,공덕2삼성래미안(아)경로당,서울특별시 마포구 마포대로20길 26,37.5515889498632,126.958883174511,02-6354-4923,2024-11-22,
34.0,서울특별시,마포구,노인여가복지시설,경로당,공덕한화꿈에그린(아)경로당,서울특별시 마포구 마포대로10길 22,37.5468782712104,126.954999117676,02-714-7633,2024-11-22,
35.0,서울특별시,마포구,노인여가복지시설,경로당,브라운스톤공덕(아)경로당,서울특별시 마포구 백범로 230,37.541908132274,126.954389452125,02-717-2514,2024-11-22,
36.0,서울특별시,마포구,노인여가복지시설,경로당,덕성경로당,서울특별시 마포구 임정로 15길 6-5,37.543735278721,126.957226944947,02-717-9770,2024-11-22,
37.0,서울특별시,마포구,노인여가복지시설,경로당,신공덕삼성(아)제2경로당,서울특별시 마포구 백범로 37길 6,37.5424392575328,126.956373646619,02-704-3534,2024-11-22,
38.0,서울특별시,마포구,노인여가복지시설,경로당,신공덕2삼성래미안(아)경로당,서울특별시 마포구 만리재로 74,37.5464799635447,126.958874926074,02-712-2260,2024-11-22,
39.0,서울특별시,마포구,노인여가복지시설,경로당,신공덕삼성3차(아)경로당,서울특별시 마포구 만리재로 60,37.5459588863517,126.957003631709,02-704-8583,2024-11-22,
